"";"Lupin";"Species";"sum.reclassified.x";"Occurrences.site";"sum.reclassified.y";"abundance"
"103";"No";"Trifolium spadiceum";"1";1;"1";5
"104";"No";"Tripleurospermum inodorum";"3";3;"3";14
"105";"No";"Tussilago farfara";"3";5;"3";26
"106";"No";"Vaccinium myrtillus";"1";1;"1";2
"107";"No";"Vaccinium vitis-idaea";"1";1;"1";16
"108";"No";"Verbascum nigrum";"1";1;"1";4
"109";"No";"Veronica arvensis";"1";1;"1";7
"110";"No";"Veronica beccabunga";"2";1;"2";3
"111";"No";"Veronica chamaedrys";"1";4;"1";35
"112";"No";"Veronica officinalis";"0";5;"0";23
"113";"No";"Vicia cracca";"2";11;"2";39
"114";"No";"Vicia sepium";"2";1;"2";2
"115";"No";"Vicia tetrasperma";"2";1;"2";3
"116";"No";"Viola canina";"1";5;"1";32
"117";"No";"Viola riviniana";"1";2;"1";4
"118";"Yes";"Achillea millefolium";"2";16;"2";78
"119";"Yes";"Achillea ptarmica";"2";1;"2";8
"120";"Yes";"Aethusa cynapium";"2";1;"2";4
"121";"Yes";"Alchemilla vulgaris";"2";2;"2";11
"122";"Yes";"Anthriscus sylvestris";"3";9;"3";39
"123";"Yes";"Argentina anserina";"2";1;"2";3
"124";"Yes";"Athyrium filix-femina";"2";1;"2";6
"125";"Yes";"Calluna vulgaris";"1";2;"1";7
"126";"Yes";"Campanula patula";"2";1;"2";2
"127";"Yes";"Campanula persicifolia";"1";4;"1";6
"128";"Yes";"Campanula rotundifolia";"0";4;"0";17
"129";"Yes";"Carex flacca";"1";1;"1";2
"130";"Yes";"Carex flava";"2";1;"2";2
"131";"Yes";"Carex leporina";"2";1;"2";4
"132";"Yes";"Cerastium fontanum";"2";2;"2";10
"133";"Yes";"Chamaenerion angustifolium";"3";1;"3";1
"134";"Yes";"Cirsium arvense";"3";7;"3";38
"135";"Yes";"Cirsium heterophyllum";"3";1;"3";12
"136";"Yes";"Cota tinctoria";"0";1;"0";2
"137";"Yes";"Equisetum";"1";1;"1";1
"138";"Yes";"Equisetum arvense";"3";6;"3";48
"139";"Yes";"Equisetum sylvaticum";"1";4;"1";29
"140";"Yes";"Erigeron acris";"0";1;"0";3
"141";"Yes";"Filipendula ulmaria";"3";1;"3";3
"142";"Yes";"Fragaria vesca";"2";8;"2";62
"143";"Yes";"Galium boreale";"1";2;"1";5
"144";"Yes";"Gallium mollugo";"3";10;"3";56
"145";"Yes";"Geranium sylvaticum";"2";1;"2";3
"146";"Yes";"Geum rivale";"2";2;"2";6
"147";"Yes";"Geum urbanum";"2";2;"2";11
"148";"Yes";"Hieracium sect. Bifida";"2";1;"2";1
"149";"Yes";"Hieracium sect. Hieracium agg.";"1";1;"1";7
"150";"Yes";"Hieracium sect. Tridentata";"2";2;"2";6
"151";"Yes";"Hieracium umbellatum";"2";3;"2";5
"152";"Yes";"Hypericum maculatum";"2";3;"2";6
"153";"Yes";"Juncus conglomeratus";"3";2;"3";4
"154";"Yes";"Juncus effusus";"3";2;"3";6
"155";"Yes";"Knautia arvensis";"2";1;"2";1
"156";"Yes";"Lapsana communis";"3";1;"3";1
"157";"Yes";"Lathyrus linifolius";"1";3;"1";6
"158";"Yes";"Lathyrus pratensis";"2";6;"2";17
"159";"Yes";"Leucanthemum vulgare";"2";7;"2";12
"160";"Yes";"Lotus corniculatus";"2";2;"2";3
"161";"Yes";"Luzula multiflora";"1";1;"1";3
"162";"Yes";"Luzula pallescens";"2";1;"2";1
"163";"Yes";"Luzula pilosa";"1";1;"1";1
"164";"Yes";"Lychnis flos-cuculi";"2";1;"2";3
"165";"Yes";"Maianthemum bifolium";"0";1;"0";1
"166";"Yes";"Melampyrum sylvaticum";"1";1;"1";4
"167";"Yes";"Myosotis arvensis";"2";1;"2";1
"168";"Yes";"Myosotis scorpioides";"1";1;"1";1
"169";"Yes";"Noccaea caerulescens";"2";2;"2";3
"170";"Yes";"Paris quadrifolia";"1";1;"1";2
"171";"Yes";"Pilosella cymosa";"1";2;"1";2
"172";"Yes";"Pilosella officinarum";"0";1;"0";6
"173";"Yes";"Pimpinella saxifraga";"0";1;"0";2
"174";"Yes";"Plantago lanceolata";"2";1;"2";1
"175";"Yes";"Plantago major";"1";1;"1";4
"176";"Yes";"Potentilla erecta";"1";4;"1";16
"177";"Yes";"Potentilla reptans";"2";1;"2";4
"178";"Yes";"Ranunculus acris subsp. acris";"2";13;"2";48
"179";"Yes";"Ranunculus repens";"3";4;"3";19
"180";"Yes";"Rubus idaeus";"3";1;"3";1
"181";"Yes";"Rumex acetosa";"2";4;"2";10
"182";"Yes";"Rumex acetosella";"0";2;"0";3
"183";"Yes";"Sagina procumbens";"1";1;"1";2
"184";"Yes";"Scorzoneroides autumnalis";"2";1;"2";3
"185";"Yes";"Solidago canadensis";"3";1;"3";9
"186";"Yes";"Solidago virgaurea";"2";1;"2";5
"187";"Yes";"Sonchus oleraceus";"3";1;"3";1
"188";"Yes";"Stellaria graminea";"2";1;"2";4
"189";"Yes";"Succisa pratensis";"1";1;"1";2
"190";"Yes";"Taraxacum";"3";12;"3";47
"191";"Yes";"Tragopogon pratensis";"2";3;"2";4
"192";"Yes";"Trifolium hybridum";"3";5;"3";18
"193";"Yes";"Trifolium medium";"2";7;"2";44
