County;Lupin;Species;sum.reclassified;count
Uppsala;Yes;Sonchus oleraceus;3;1
Uppsala;Yes;Succisa pratensis;1;1
Uppsala;Yes;Taraxacum;3;9
Uppsala;Yes;Tragopogon pratensis;2;3
Uppsala;Yes;Trifolium hybridum;3;3
Uppsala;Yes;Trifolium medium;2;7
Uppsala;Yes;Trifolium repens;2;2
Uppsala;Yes;Tripleurospermum inodorum;3;2
Uppsala;Yes;Tussilago farfara;3;2
Uppsala;Yes;Urtica dioica;3;1
Uppsala;Yes;Vaccinium uliginosum;2;1
Uppsala;Yes;Veronica arvensis;1;1
Uppsala;Yes;Veronica beccabunga;2;1
Uppsala;Yes;Veronica chamaedrys;1;1
Uppsala;Yes;Vicia cracca;2;3
Uppsala;Yes;Vicia sepium;2;1
Uppsala;Yes;Vicia tetrasperma;2;1
Uppsala;Yes;Viola canina;1;2
Uppsala;Yes;Viola riviniana;1;2
Värmland;No;Achillea millefolium;2;7
Värmland;No;Aegopodium podagraria;3;2
Värmland;No;Alchemilla vulgaris;2;4
Värmland;No;Anemone nemorosa;0;1
Värmland;No;Angelica sylvestris;2;2
Värmland;No;Anthriscus sylvestris;3;2
Värmland;No;Anthyllis vulneraria;3;1
Värmland;No;Argentina anserina;2;1
Värmland;No;Calluna vulgaris;1;2
Värmland;No;Campanula patula;2;1
Värmland;No;Campanula persicifolia;1;3
Värmland;No;Campanula rotundifolia;0;1
Värmland;No;Carex leporina;2;1
Värmland;No;Carex pallescens;2;2
Värmland;No;Centaurea jacea;2;1
Värmland;No;Cerastium fontanum;2;2
Värmland;No;Chamaenerion angustifolium;3;2
Värmland;No;Cirsium palustre;3;2
Värmland;No;Convallaria majalis;1;1
Värmland;No;Daucus carota subsp. carota;2;3
Värmland;No;Dianthus deltoides;0;1
Värmland;No;Fragaria vesca;2;7
Värmland;No;Galium uliginosum;2;1
Värmland;No;Gallium mollugo;3;4
Värmland;No;Geranium sylvaticum;2;2
Värmland;No;Geum rivale;2;2
Värmland;No;Hieracium sect. Hieracium agg.;1;2
Värmland;No;Hieracium umbellatum;2;3
Värmland;No;Hypericum maculatum;2;5
Värmland;No;Hypericum perforatum;1;1
Värmland;No;Juncus effusus;3;2
Värmland;No;Knautia arvensis;2;2
Värmland;No;Lathyrus linifolius;1;2
Värmland;No;Lathyrus pratensis;2;3
Värmland;No;Leucanthemum vulgare;2;7
Värmland;No;Lotus corniculatus;2;3
Värmland;No;Luzula multiflora;1;4
Värmland;No;Luzula pilosa;1;2
Värmland;No;Lychnis flos-cuculi;2;3
Värmland;No;Melampyrum sylvaticum;1;1
Värmland;No;Moehringia trinervia;0;1
Värmland;No;Pilosella officinarum;0;2
Värmland;No;Pimpinella saxifraga;0;4
Värmland;No;Plantago lanceolata;2;1
Värmland;No;Plantago major;1;2
Värmland;No;Potentilla argentea;0;1
Värmland;No;Potentilla erecta;1;5
Värmland;No;Prunella vulgaris;1;2
Värmland;No;Ranunculus acris subsp. acris;2;10
Värmland;No;Rhinanthus minor;0;2
Värmland;No;Rubus arcticus;2;1
Värmland;No;Rubus saxatilis;1;1
Värmland;No;Rumex acetosa;2;5
Värmland;No;Rumex acetosella;0;2
Värmland;No;Silene vulgaris;1;1
Värmland;No;Solidago canadensis;3;1
Värmland;No;Stellaria longifolia;1;2
Värmland;No;Succisa pratensis;1;2
Värmland;No;Taraxacum;3;5
Värmland;No;Trifolium aureoum;0;1
Värmland;No;Trifolium hybridum;3;2
Värmland;No;Trifolium medium;2;1
Värmland;No;Trifolium pratense;3;3
Värmland;No;Trifolium repens;2;4
Värmland;No;Trifolium spadiceum;1;1
Värmland;No;Tussilago farfara;3;2
Värmland;No;Vaccinium myrtillus;1;1
Värmland;No;Vaccinium vitis-idaea;1;1
Värmland;No;Verbascum nigrum;1;1
Värmland;No;Veronica chamaedrys;1;2
Värmland;No;Veronica officinalis;0;3
Värmland;No;Vicia cracca;2;6
Värmland;No;Vicia sepium;2;1
Värmland;No;Viola canina;1;4
Värmland;No;Viola riviniana;1;2
Värmland;Yes;Achillea millefolium;2;6
Värmland;Yes;Alchemilla vulgaris;2;1
Värmland;Yes;Anthriscus sylvestris;3;2
Värmland;Yes;Argentina anserina;2;1
Värmland;Yes;Calluna vulgaris;1;2
Värmland;Yes;Campanula persicifolia;1;2
Värmland;Yes;Campanula rotundifolia;0;2
Värmland;Yes;Cirsium arvense;3;1
Värmland;Yes;Erigeron acris;0;1
Värmland;Yes;Fragaria vesca;2;4
Värmland;Yes;Gallium mollugo;3;2
Värmland;Yes;Hieracium umbellatum;2;1
Värmland;Yes;Hypericum maculatum;2;2
Värmland;Yes;Juncus conglomeratus;3;2
Värmland;Yes;Juncus effusus;3;2
Värmland;Yes;Knautia arvensis;2;1
Värmland;Yes;Lathyrus linifolius;1;2
Värmland;Yes;Lathyrus pratensis;2;1
Värmland;Yes;Leucanthemum vulgare;2;3
Värmland;Yes;Lotus corniculatus;2;1
Värmland;Yes;Lupinus polyphyllus;3;12
Värmland;Yes;Luzula multiflora;1;1
Värmland;Yes;Luzula pallescens;2;1
Värmland;Yes;Luzula pilosa;1;1
Värmland;Yes;Lychnis flos-cuculi;2;1
Värmland;Yes;Melampyrum sylvaticum;1;1
Värmland;Yes;Plantago lanceolata;2;1
Värmland;Yes;Potentilla erecta;1;3
Värmland;Yes;Ranunculus acris subsp. acris;2;8
Värmland;Yes;Rumex acetosa;2;2
Värmland;Yes;Solidago canadensis;3;1
Värmland;Yes;Stellaria graminea;2;1
Värmland;Yes;Taraxacum;3;3
Värmland;Yes;Trifolium hybridum;3;2
Värmland;Yes;Trifolium pratense;3;4
Värmland;Yes;Trifolium repens;2;1
Värmland;Yes;Tussilago farfara;3;1
Värmland;Yes;Vaccinium vitis-idaea;1;1
Värmland;Yes;Veronica chamaedrys;1;1
Värmland;Yes;Vicia cracca;2;2
Värmland;Yes;Viola riviniana;1;1
