Site;parnr;Lupin;coord x;coord y;namn;Litter.avg;Veghet.avg
Littersbo 1;1;Yes;59.8864997551565;16.8076995202448;7145e9f2-91f9-415f-8c0f-3d675994beca;0,6;61,25
Littersbo 1;2;Yes;59.8865448497013;16.8075479753547;928bb554-cdd6-4c7d-b0d2-f2b04ffd9db9;1,4;38,75
Littersbo 2;1;No;59.9032785548349;16.8118329060223;c2cd3747-bd6f-4930-9ad1-309b6ae0c7b7;1,8;13,125
Littersbo 2;2;No;59.9027063431748;16.8107338648829;b8945656-9ad2-43a0-9734-67dc815e864d;0,4;15,625
Littersbo 2;1;Yes;59.9032081462541;16.8116977041821;1c4a26d6-92f3-4cff-a517-6de46f05ef8e;1,4;43,75
Littersbo 2;2;Yes;59.9027785240953;16.8108504904612;03cab4a0-5400-41e5-a8ac-a990975bb0a2;0,6;56,25
Lydinge;1;No;59.8347122499925;17.0994727314637;ae653dd6-91d0-4817-866a-53b5b15f1198;0,6;18,125
Lydinge;2;No;59.8341434323176;17.0998245692211;1948021d-935d-42f9-bc03-ef25a0fad2de;0,4;5
Lydinge;1;Yes;59.8346422802025;17.099559978539;29f2ced3-1fb2-47c9-ab05-fa357af551e4;0,4;65
Lydinge;2;Yes;59.834386354262;17.099716321331;b246d4f4-0e51-45e2-8aef-cbe386e7c731;0,4;52,5
Missionskyrkan;1;No;59.8769742897552;16.695951072499;7f7de765-c22a-432e-93a5-068e82de5fbd;1,4;14,375
Missionskyrkan;2;No;59.8767502897188;16.6963667795748;f5388438-bbb0-4200-a715-dd4bc6ae6c87;3;10
Missionskyrkan;1;Yes;59.8769578273505;16.6959763708541;d3e81f37-5ffb-49da-abf0-f686922d98d2;1,2;56,25
Missionskyrkan;2;Yes;59.8767904320566;16.6963243251945;26c02884-e4b5-4ca4-885d-b11cb2976bcb;3,2;51,25
Motocrossbanan ;1;No;59.9125988643525;16.8292915539747;f6cff1f8-67fc-4a4f-be21-b62d252cb174;1,4;8,125
Motocrossbanan ;2;No;59.9131046151123;16.8303649778571;0b72e0f3-f804-4245-87ec-707fe91621b0;1;1,25
Motocrossbanan ;1;Yes;59.9129206037546;16.8299536410851;bc9ab83b-4198-47e2-bb6c-847763e9f0ff;0,4;72,5
Motocrossbanan ;2;Yes;59.9131013172944;16.8302807859521;5822e8a8-7ec5-4601-be42-7d08da423d24;1,8;66,25
Odensfors;1;No;60.243539688197;17.3510419400581;85c2cbf2-a1f6-4ef8-9f8c-e4100fbefa46;1,6;4,375
Odensfors;2;No;60.2436573210985;17.3512317217383;f0608382-8ceb-4abc-bd5d-308c7d58a473;1;13,75
Odensfors;1;Yes;60.2435653903636;17.3510831942892;c6d4d84f-1454-462a-9d01-63231fa1413e;0,4;30,625
Odensfors;2;Yes;60.2437013826129;17.3513195239725;72017f05-1a56-4c77-a62a-5583db3b9825;0,2;53,75
Ransta;1;No;59.8059791597221;16.6230252610158;286774d8-417e-4998-a379-35bdece4825d;1,4;14,375
Ransta;2;No;59.8057596024124;16.6230458575886;d1ae9a13-34c1-41c7-9fde-bb2654565b6e;0;16,875
Ransta;1;Yes;59.8059484922379;16.62299900326;348fd9ce-9c16-4135-9862-b9940bec8774;2;51,25
Ransta;2;Yes;59.8057880282781;16.6230469831777;8b7b5dd8-05fc-4b56-848b-999777131a29;1;46,25
Runhällen;1;No;60.0195778587623;16.8332898897273;5103f3ee-20bb-4074-bf85-ffb65403e520;0,4;3,75
Runhällen;2;No;60.0198117790359;16.8330713197372;b40e7ab2-9202-4fed-8540-a279ea01c673;0,4;4,375
Runhällen;1;Yes;60.019621145369;16.833243666016;ab5a6210-c637-4b88-a0e1-38bea0a3a97f;1,2;57,5
Runhällen;2;Yes;60.0197368738064;16.8331200955622;76bb5eba-f575-4c84-8165-f00f5eee1d98;0,4;40
Röcklingeås;1;No;59.9168583796077;16.8376380016037;3fc9e386-bfb1-4b74-bf1c-6dc52b2ca031;1,4;13,75
Röcklingeås;2;No;59.9165755744365;16.8372432144942;2275736d-c39e-4a49-82b9-414a54d8d6a8;1,2;18,75
Röcklingeås;1;Yes;59.91681931997;16.8376220762704;da380ad6-e6cd-4eed-81b6-014e641982e1;2,4;60
Röcklingeås;2;Yes;59.9167000037133;16.8372914944492;ffafb4cb-99fd-4bdd-8e2e-f4315ba21a03;1;53,75
Rödmossa;1;No;60.0779717025866;16.8343041263106;5032b8a8-04bb-41ec-a016-22baca3be191;2,2;6,875
Rödmossa;2;No;60.0779994855796;16.8346603685079;73b7ec5b-d60f-43ee-ba98-f5238b5d70b8;1,6;10,625
Rödmossa;1;Yes;60.0780112365033;16.8343834700081;09571b62-2820-45af-8ef9-21c6989c09b1;3,6;63,75
Rödmossa;2;Yes;60.0780421377741;16.8347596988221;c71330ef-3e6f-4098-94af-9075a58634a4;0,2;76,25
Slutbo;1;No;59.8475243662344;17.0924202818485;dfdcfecb-c770-4b50-8345-1bbf69694801;0,8;9,375
Slutbo;2;No;59.848128995051;17.0923512984212;2fe73d68-f506-4469-981c-3c909f538ea3;1,2;0,625
Slutbo;1;Yes;59.8475303174584;17.092424556931;3c22a791-630a-4d35-9b6b-afc5d8bfbd91;0,6;43,75
Slutbo;2;Yes;59.8478200797307;17.0923802160886;c60d6b64-2c6b-43d1-9264-79364951293d;0,4;42,5
Solbo;1;No;59.8662932239516;16.7781347227727;2df01b46-97ae-4ee5-9826-aff12f81ee1b;2,4;1,875
Solbo;2;No;59.8662789921776;16.7776400286306;105495e4-5994-4ac2-9ff4-5a9a0a8e2920;1;11,875
Solbo;1;Yes;59.8662937944311;16.7781025172714;f40d20c7-55ae-472a-930c-b98198213ef9;1,2;67,5
Solbo;2;Yes;59.8662855308212;16.7778652928662;f40ad892-4adc-4768-a481-3c1d746d103f;0,8;61,25
Söderfors;1;No;60.3613519132544;17.2341833449702;c761edd0-4950-47c3-8467-08777523ce4c;1;9,375
Söderfors;2;No;60.3616452633356;17.2342567481087;9f1ab5f1-c41d-4ab4-acdf-4fcb212b86e2;2,2;14,375
Söderfors;1;Yes;60.3613176559361;17.2341673998739;56d8de95-c33e-4812-8fad-dc6ecacbe65a;0,4;36,25
Söderfors;2;Yes;60.3616959708765;17.2342646910125;4770d97f-bfd5-4b19-8b50-e9e4abd1a156;1;58,75
Sörbäck;1;No;59.8788523583093;16.6893855205477;ab609b6d-c0ed-4a4a-91dc-cd6be094da7a;1,2;1,875
Sörbäck;2;No;59.8787729395979;16.6899845746713;efbd28c7-05ce-451d-876e-95bf8660787c;0,8;10
Sörbäck;1;Yes;59.8788370612557;16.6894252503378;6e571eb6-5b6f-41b4-be3c-cac518522a42;1,4;58,75
Sörbäck;2;Yes;59.8787340055526;16.689833784366;85936aea-f70b-4262-a48a-9edcb3cf4d0a;0,8;53,75
Västerby;1;No;59.9244077506226;16.4867904786616;3b67aa67-b855-4113-960c-12b40b8448a7;0;10,625
Västerby;2;No;59.924220299926;16.4864517437309;df585445-c297-4d80-8c1e-05bca700a2e9;0;13,75
Västerby;1;Yes;59.9244446935723;16.4869127717111;3ab8e740-835c-4076-9368-dccdd88ad03e;0;77,5
Västerby;2;Yes;59.9242542687074;16.4865144937484;f847359c-f3aa-447a-a5c2-49a75628a1dd;0;68,75
Östanbäck;1;No;59.9260518192763;16.476758120518;2241c704-59b1-4476-b599-a22a120889b9;0;8,75
Östanbäck;2;No;59.9263890482764;16.4762980007345;605f169a-7cd9-42c8-b457-d7a767706628;1;13,125
Östanbäck;1;Yes;59.9260912722929;16.4767096240691;81ef0692-cbe8-4d13-b04a-b2deceed691c;0;51,25
