Site;parnr;Lupin.NoLupin;Species;Occ
Flugbohöjden/Ettala;2;NoLupin;Luzula multiflora;5
Flugbohöjden/Ettala;2;NoLupin;Luzula pilosa;3
Flugbohöjden/Ettala;2;NoLupin;Picea abies;3
Flugbohöjden/Ettala;2;NoLupin;Poa chaixii;5
Flugbohöjden/Ettala;2;NoLupin;Potentilla argentea;3
Flugbohöjden/Ettala;2;NoLupin;Potentilla erecta;2
Flugbohöjden/Ettala;2;NoLupin;Ranunculus acris subsp. acris;5
Flugbohöjden/Ettala;2;NoLupin;Rhinanthus minor;2
Flugbohöjden/Ettala;2;NoLupin;Stellaria graminea;6
Flugbohöjden/Ettala;2;NoLupin;Trifolium pratense;7
Flugbohöjden/Ettala;2;NoLupin;Trifolium repens;5
Flugbohöjden/Ettala;2;NoLupin;Tussilago farfara;7
Flugbohöjden/Ettala;2;NoLupin;Vicia cracca;5
Gamsebo Hagaberg;1;Lupin;Achillea millefolium;4
Gamsebo Hagaberg;1;Lupin;Anthriscus sylvestris;10
Gamsebo Hagaberg;1;Lupin;Cirsium arvense;7
Gamsebo Hagaberg;1;Lupin;Equisetum arvense;2
Gamsebo Hagaberg;1;Lupin;Filipendula ulmaria;8
Gamsebo Hagaberg;1;Lupin;Galium boreale;3
Gamsebo Hagaberg;1;Lupin;Gallium mollugo;7
Gamsebo Hagaberg;1;Lupin;Lathyrus pratensis;3
Gamsebo Hagaberg;1;Lupin;Lotus corniculatus;2
Gamsebo Hagaberg;1;Lupin;Lupinus polyphyllus;16
Gamsebo Hagaberg;1;Lupin;Ranunculus repens;7
Gamsebo Hagaberg;1;Lupin;Trifolium hybridum;1
Gamsebo Hagaberg;1;Lupin;Vicia cracca;2
Gamsebo Hagaberg;1;NoLupin;Achillea millefolium;10
Gamsebo Hagaberg;1;NoLupin;Achillea ptarmica;15
Gamsebo Hagaberg;1;NoLupin;Anthriscus sylvestris;6
Gamsebo Hagaberg;1;NoLupin;Campanula patula;1
Gamsebo Hagaberg;1;NoLupin;Carum carvi;3
Gamsebo Hagaberg;1;NoLupin;Equisetum arvense;11
Gamsebo Hagaberg;1;NoLupin;Filipendula ulmaria;10
Gamsebo Hagaberg;1;NoLupin;Gallium mollugo;10
Gamsebo Hagaberg;1;NoLupin;Lathyrus pratensis;12
Gamsebo Hagaberg;1;NoLupin;Leucanthemum vulgare;1
Gamsebo Hagaberg;1;NoLupin;Lotus corniculatus;13
Gamsebo Hagaberg;1;NoLupin;Lupinus polyphyllus;6
Gamsebo Hagaberg;1;NoLupin;Mentha x verticillata;1
Gamsebo Hagaberg;1;NoLupin;Ranunculus repens;3
Gamsebo Hagaberg;1;NoLupin;Stellaria graminea;6
Gamsebo Hagaberg;1;NoLupin;Taraxacum;10
Gamsebo Hagaberg;1;NoLupin;Tragopogon pratensis;2
Gamsebo Hagaberg;1;NoLupin;Trifolium hybridum;2
Gamsebo Hagaberg;1;NoLupin;Trifolium medium;3
Gamsebo Hagaberg;1;NoLupin;Tussilago farfara;5
Gamsebo Hagaberg;1;NoLupin;Vicia cracca;6
Gamsebo Hagaberg;2;Lupin;Achillea millefolium;11
Gamsebo Hagaberg;2;Lupin;Anthriscus sylvestris;7
Gamsebo Hagaberg;2;Lupin;Cirsium arvense;1
Gamsebo Hagaberg;2;Lupin;Gallium mollugo;2
Gamsebo Hagaberg;2;Lupin;Lupinus polyphyllus;16
Gamsebo Hagaberg;2;Lupin;Noccaea caerulescens;3
Gamsebo Hagaberg;2;Lupin;Ranunculus repens;1
Gamsebo Hagaberg;2;Lupin;Taraxacum;7
Gamsebo Hagaberg;2;NoLupin;Achillea millefolium;7
Gamsebo Hagaberg;2;NoLupin;Anthriscus sylvestris;2
Gamsebo Hagaberg;2;NoLupin;Cirsium arvense;1
Gamsebo Hagaberg;2;NoLupin;Gallium mollugo;10
Gamsebo Hagaberg;2;NoLupin;Lathyrus pratensis;4
Gamsebo Hagaberg;2;NoLupin;Leucanthemum vulgare;4
Gamsebo Hagaberg;2;NoLupin;Lupinus polyphyllus;3
Gamsebo Hagaberg;2;NoLupin;Noccaea caerulescens;5
Gamsebo Hagaberg;2;NoLupin;Salix cinerea;4
Gamsebo Hagaberg;2;NoLupin;Taraxacum;3
Gersbysäter/Gersby;1;Lupin;Alopecurus pratensis;7
Gersbysäter/Gersby;1;Lupin;Anthriscus sylvestris;7
Gersbysäter/Gersby;1;Lupin;Arrhenatherum elatius;5
Gersbysäter/Gersby;1;Lupin;Betula pendula;3
Gersbysäter/Gersby;1;Lupin;Festuca rubra;5
Gersbysäter/Gersby;1;Lupin;Gallium mollugo;3
Gersbysäter/Gersby;1;Lupin;Lupinus polyphyllus;16
Gersbysäter/Gersby;1;Lupin;Poa pratensis;7
Gersbysäter/Gersby;1;Lupin;Potentilla erecta;4
Gersbysäter/Gersby;1;Lupin;Ranunculus acris subsp. acris;13
Gersbysäter/Gersby;1;Lupin;Rumex acetosa;3
Gersbysäter/Gersby;1;Lupin;Salix caprea;3
Gersbysäter/Gersby;1;NoLupin;Achillea millefolium;4
Gersbysäter/Gersby;1;NoLupin;Aegopodium podagraria;2
Gersbysäter/Gersby;1;NoLupin;Alopecurus pratensis;2
Gersbysäter/Gersby;1;NoLupin;Campanula patula;2
Gersbysäter/Gersby;1;NoLupin;Festuca ovina;9
Gersbysäter/Gersby;1;NoLupin;Juncus effusus;1
Gersbysäter/Gersby;1;NoLupin;Leucanthemum vulgare;4
Gersbysäter/Gersby;1;NoLupin;Luzula pilosa;2
Gersbysäter/Gersby;1;NoLupin;Lychnis flos-cuculi;1
Gersbysäter/Gersby;1;NoLupin;Phleum pratense;9
Gersbysäter/Gersby;1;NoLupin;Poa chaixii;3
Gersbysäter/Gersby;1;NoLupin;Potentilla erecta;5
Gersbysäter/Gersby;1;NoLupin;Ranunculus acris subsp. acris;13
Gersbysäter/Gersby;1;NoLupin;Rumex acetosa;3
Gersbysäter/Gersby;1;NoLupin;Stellaria longifolia;4
Gersbysäter/Gersby;1;NoLupin;Taraxacum;5
Gersbysäter/Gersby;1;NoLupin;Trifolium repens;3
Gersbysäter/Gersby;1;NoLupin;Vicia cracca;2
Gersbysäter/Gersby;1;NoLupin;Viola canina;5
Gersbysäter/Gersby;1;NoLupin;Viola riviniana;2
Gersbysäter/Gersby;2;Lupin;Alopecurus pratensis;2
Gersbysäter/Gersby;2;Lupin;Anthoxanthum odoratum agg.;6
Gersbysäter/Gersby;2;Lupin;Cirsium vulgare;2
Gersbysäter/Gersby;2;Lupin;Festuca rubra;5
Gersbysäter/Gersby;2;Lupin;Lupinus polyphyllus;16
Gersbysäter/Gersby;2;Lupin;Poa chaixii;3
Gersbysäter/Gersby;2;Lupin;Poa pratensis;3
Gersbysäter/Gersby;2;Lupin;Rumex acetosella;2
Gersbysäter/Gersby;2;NoLupin;Aegopodium podagraria;3
Gersbysäter/Gersby;2;NoLupin;Alopecurus pratensis;2
Gersbysäter/Gersby;2;NoLupin;Angelica sylvestris;2
Gersbysäter/Gersby;2;NoLupin;Anthoxanthum odoratum agg.;5
Gersbysäter/Gersby;2;NoLupin;Carex leporina;8
Gersbysäter/Gersby;2;NoLupin;Festuca ovina;5
Gersbysäter/Gersby;2;NoLupin;Festuca rubra;10
Gersbysäter/Gersby;2;NoLupin;Leucanthemum vulgare;5
Gersbysäter/Gersby;2;NoLupin;Luzula multiflora;2
Gersbysäter/Gersby;2;NoLupin;Phleum pratense;3
Gersbysäter/Gersby;2;NoLupin;Poa chaixii;6
Gersbysäter/Gersby;2;NoLupin;Potentilla erecta;3
Gersbysäter/Gersby;2;NoLupin;Ranunculus acris subsp. acris;5
Gersbysäter/Gersby;2;NoLupin;Stellaria graminea;6
Gersbysäter/Gersby;2;NoLupin;Vicia cracca;8
Gersbysäter/Gersby;2;NoLupin;Viola riviniana;6
Gullvalla;1;Lupin;Achillea millefolium;2
Gullvalla;1;Lupin;Betula pendula;2
Gullvalla;1;Lupin;Campanula patula;5
Gullvalla;1;Lupin;Carex nigra;3
Gullvalla;1;Lupin;Equisetum arvense;16
Gullvalla;1;Lupin;Galium boreale;2
Gullvalla;1;Lupin;Gallium mollugo;4
Gullvalla;1;Lupin;Hieracium sect. Tridentata;1
Gullvalla;1;Lupin;Lupinus polyphyllus;16
Gullvalla;1;Lupin;Luzula multiflora;3
Gullvalla;1;Lupin;Luzula pilosa;6
Gullvalla;1;Lupin;Picea abies;3
Gullvalla;1;Lupin;Plantago major;3
Gullvalla;1;Lupin;Potentilla erecta;11
Gullvalla;1;Lupin;Ranunculus acris subsp. acris;7
Gullvalla;1;Lupin;Salix cinerea;2
Gullvalla;1;Lupin;Salix pentandra;1
Gullvalla;1;Lupin;Scorzoneroides autumnalis;1
Gullvalla;1;Lupin;Stellaria graminea;2
Gullvalla;1;Lupin;Taraxacum;6
Gullvalla;1;Lupin;Trifolium medium;14
Gullvalla;1;Lupin;Tussilago farfara;3
Gullvalla;1;Lupin;Veronica officinalis;8
Gullvalla;1;Lupin;Viola canina;1
Gullvalla;1;NoLupin;Achillea millefolium;5
Gullvalla;1;NoLupin;Achillea ptarmica;1
Gullvalla;1;NoLupin;Alchemilla vulgaris;1
Gullvalla;1;NoLupin;Betula pendula;7
Gullvalla;1;NoLupin;Calluna vulgaris;1
Gullvalla;1;NoLupin;Caltha palustris;7
Gullvalla;1;NoLupin;Campanula patula;1
Gullvalla;1;NoLupin;Carex nigra;3
Gullvalla;1;NoLupin;Cerastium fontanum;1
Gullvalla;1;NoLupin;Cirsium arvense;1
Gullvalla;1;NoLupin;Equisetum arvense;15
Gullvalla;1;NoLupin;Galium boreale;1
Gullvalla;1;NoLupin;Gallium mollugo;1
Gullvalla;1;NoLupin;Lathyrus pratensis;10
Gullvalla;1;NoLupin;Leucanthemum vulgare;3
Gullvalla;1;NoLupin;Lupinus polyphyllus;2
Gullvalla;1;NoLupin;Luzula multiflora;12
Gullvalla;1;NoLupin;Luzula pilosa;6
Gullvalla;1;NoLupin;Pinus sylvestris;3
Gullvalla;1;NoLupin;Plantago major;7
Gullvalla;1;NoLupin;Potentilla erecta;16
Gullvalla;1;NoLupin;Ranunculus acris subsp. acris;6
Gullvalla;1;NoLupin;Ranunculus repens;1
Gullvalla;1;NoLupin;Rhinanthus minor;9
Gullvalla;1;NoLupin;Rumex acetosa;15
Gullvalla;1;NoLupin;Salix pentandra;2
Gullvalla;1;NoLupin;Scorzoneroides autumnalis;15
Gullvalla;1;NoLupin;Taraxacum;4
Gullvalla;1;NoLupin;Trifolium medium;15
Gullvalla;1;NoLupin;Tussilago farfara;14
Gullvalla;1;NoLupin;Veronica officinalis;6
Gullvalla;1;NoLupin;Vicia cracca;1
Gullvalla;1;NoLupin;Viola canina;9
Gullvalla;2;Lupin;Achillea millefolium;3
Gullvalla;2;Lupin;Anthriscus sylvestris;1
Gullvalla;2;Lupin;Campanula rotundifolia;6
Gullvalla;2;Lupin;Cota tinctoria;2
Gullvalla;2;Lupin;Fragaria vesca;16
Gullvalla;2;Lupin;Gallium mollugo;1
Gullvalla;2;Lupin;Lupinus polyphyllus;16
Gullvalla;2;Lupin;Noccaea caerulescens;1
Gullvalla;2;Lupin;Pilosella officinarum;6
Gullvalla;2;Lupin;Pimpinella saxifraga;2
Gullvalla;2;Lupin;Taraxacum;1
Gullvalla;2;Lupin;Tragopogon pratensis;2
Gullvalla;2;Lupin;Viola canina;11
Gullvalla;2;NoLupin;Anthriscus sylvestris;2
Gullvalla;2;NoLupin;Campanula rotundifolia;4
Gullvalla;2;NoLupin;Cota tinctoria;1
Gullvalla;2;NoLupin;Fragaria vesca;15
Gullvalla;2;NoLupin;Hieracium sect. Tridentata;3
Gullvalla;2;NoLupin;Lupinus polyphyllus;3
Gullvalla;2;NoLupin;Pilosella officinarum;11
Gullvalla;2;NoLupin;Rubus idaeus;1
Gullvalla;2;NoLupin;Rubus saxatilis;4
Gullvalla;2;NoLupin;Rumex acetosa;1
Gullvalla;2;NoLupin;Taraxacum;2
Gullvalla;2;NoLupin;Trifolium medium;3
Gullvalla;2;NoLupin;Viola canina;14
Häggstöd/Nyeds-Backa;1;Lupin;Achillea millefolium;2
Häggstöd/Nyeds-Backa;1;Lupin;Aegopodium podagraria;3
Häggstöd/Nyeds-Backa;1;Lupin;Arrhenatherum elatius;1
Häggstöd/Nyeds-Backa;1;Lupin;Campanula rotundifolia;3
Häggstöd/Nyeds-Backa;1;Lupin;Centaurea jacea;3
Häggstöd/Nyeds-Backa;1;Lupin;Gallium mollugo;1
Häggstöd/Nyeds-Backa;1;Lupin;Juncus conglomeratus;2
Häggstöd/Nyeds-Backa;1;Lupin;Lathyrus pratensis;2
Häggstöd/Nyeds-Backa;1;Lupin;Lupinus polyphyllus;14
Häggstöd/Nyeds-Backa;1;Lupin;Phleum pratense;5
Häggstöd/Nyeds-Backa;1;Lupin;Poa trivialis;10
Häggstöd/Nyeds-Backa;1;Lupin;Ranunculus acris subsp. acris;4
Häggstöd/Nyeds-Backa;1;Lupin;Salix caprea;6
Häggstöd/Nyeds-Backa;1;Lupin;Schedonorus pratensis;6
Häggstöd/Nyeds-Backa;1;Lupin;Stellaria graminea;1
Häggstöd/Nyeds-Backa;1;Lupin;Unknown;1
Häggstöd/Nyeds-Backa;1;Lupin;Vicia cracca;2
Häggstöd/Nyeds-Backa;1;Lupin;Viola canina;1
Häggstöd/Nyeds-Backa;1;NoLupin;Agrostis stolonifera;12
Häggstöd/Nyeds-Backa;1;NoLupin;Alchemilla vulgaris;2
Häggstöd/Nyeds-Backa;1;NoLupin;Campanula rotundifolia;1
Häggstöd/Nyeds-Backa;1;NoLupin;Carex pallescens;5
Häggstöd/Nyeds-Backa;1;NoLupin;Centaurea jacea;5
Häggstöd/Nyeds-Backa;1;NoLupin;Centaurea sp.;1
Häggstöd/Nyeds-Backa;1;NoLupin;Erigeron acris;8
Häggstöd/Nyeds-Backa;1;NoLupin;Festuca brevipila;4
Häggstöd/Nyeds-Backa;1;NoLupin;Filipendula ulmaria;2
Häggstöd/Nyeds-Backa;1;NoLupin;Gallium mollugo;3
Häggstöd/Nyeds-Backa;1;NoLupin;Lathyrus pratensis;4
Häggstöd/Nyeds-Backa;1;NoLupin;Leucanthemum vulgare;4
Häggstöd/Nyeds-Backa;1;NoLupin;Luzula multiflora;2
Häggstöd/Nyeds-Backa;1;NoLupin;Melica nutans;5
Häggstöd/Nyeds-Backa;1;NoLupin;Phleum pratense;3
Häggstöd/Nyeds-Backa;1;NoLupin;Poa pratensis;3
Häggstöd/Nyeds-Backa;1;NoLupin;Ranunculus acris subsp. acris;4
Häggstöd/Nyeds-Backa;1;NoLupin;Stellaria longifolia;1
Häggstöd/Nyeds-Backa;1;NoLupin;Trifolium pratense;2
Häggstöd/Nyeds-Backa;1;NoLupin;Vicia cracca;4
Häggstöd/Nyeds-Backa;1;NoLupin;Viola canina;2
Häggstöd/Nyeds-Backa;2;Lupin;Alopecurus pratensis;4
Häggstöd/Nyeds-Backa;2;Lupin;Anthriscus sylvestris;2
Häggstöd/Nyeds-Backa;2;Lupin;Campanula rotundifolia;4
Häggstöd/Nyeds-Backa;2;Lupin;Festuca rubra;12
Häggstöd/Nyeds-Backa;2;Lupin;Juncus conglomeratus;1
Häggstöd/Nyeds-Backa;2;Lupin;Lupinus polyphyllus;16
Häggstöd/Nyeds-Backa;2;Lupin;Poa trivialis;14
Häggstöd/Nyeds-Backa;2;Lupin;Ranunculus acris subsp. acris;4
Häggstöd/Nyeds-Backa;2;Lupin;Stellaria graminea;4
Häggstöd/Nyeds-Backa;2;Lupin;Trifolium repens;1
Häggstöd/Nyeds-Backa;2;Lupin;Vicia cracca;5
Häggstöd/Nyeds-Backa;2;NoLupin;Agrostis capillaris;2
Häggstöd/Nyeds-Backa;2;NoLupin;Anthoxanthum odoratum agg.;3
Häggstöd/Nyeds-Backa;2;NoLupin;Arrhenatherum elatius;3
Häggstöd/Nyeds-Backa;2;NoLupin;Avenella flexuosa;4
Häggstöd/Nyeds-Backa;2;NoLupin;Campanula persicifolia;2
Häggstöd/Nyeds-Backa;2;NoLupin;Centaurea jacea;9
Häggstöd/Nyeds-Backa;2;NoLupin;Dactylis glomerata;3
Häggstöd/Nyeds-Backa;2;NoLupin;Fragaria vesca;7
Häggstöd/Nyeds-Backa;2;NoLupin;Gallium mollugo;1
Häggstöd/Nyeds-Backa;2;NoLupin;Hieracium sect. Hieracium agg.;8
Häggstöd/Nyeds-Backa;2;NoLupin;Hieracium umbellatum;4
Häggstöd/Nyeds-Backa;2;NoLupin;Hypericum maculatum;1
Häggstöd/Nyeds-Backa;2;NoLupin;Leucanthemum vulgare;9
Häggstöd/Nyeds-Backa;2;NoLupin;Luzula multiflora;11
Häggstöd/Nyeds-Backa;2;NoLupin;Poa pratensis;15
Häggstöd/Nyeds-Backa;2;NoLupin;Potentilla erecta;2
Häggstöd/Nyeds-Backa;2;NoLupin;Ranunculus acris subsp. acris;5
Häggstöd/Nyeds-Backa;2;NoLupin;Rubus arcticus;3
Häggstöd/Nyeds-Backa;2;NoLupin;Rumex acetosa;1
Häggstöd/Nyeds-Backa;2;NoLupin;Veronica officinalis;11
Jonsbol;1;Lupin;Achillea millefolium;5
Jonsbol;1;Lupin;Anthoxanthum odoratum agg.;1
Jonsbol;1;Lupin;Cirsium arvense;4
Jonsbol;1;Lupin;Erigeron acris;3
Jonsbol;1;Lupin;Festuca rubra;7
Jonsbol;1;Lupin;Juncus conglomeratus;3
Jonsbol;1;Lupin;Juncus effusus;4
Jonsbol;1;Lupin;Leucanthemum vulgare;2
Jonsbol;1;Lupin;Lotus corniculatus;2
Jonsbol;1;Lupin;Lupinus polyphyllus;15
Jonsbol;1;Lupin;Lychnis flos-cuculi;3
Jonsbol;1;Lupin;Phalaris arundinacea;1
Jonsbol;1;Lupin;Phleum pratense;3
Jonsbol;1;Lupin;Poa pratensis;13
Jonsbol;1;Lupin;Ranunculus acris subsp. acris;3
Jonsbol;1;Lupin;Rumex acetosa;2
Jonsbol;1;Lupin;Taraxacum;2
Jonsbol;1;Lupin;Trifolium hybridum;1
Jonsbol;1;Lupin;Trifolium pratense;8
Jonsbol;1;NoLupin;Achillea millefolium;1
Jonsbol;1;NoLupin;Agrostis stolonifera;12
Jonsbol;1;NoLupin;Alnus glutinosa;7
Jonsbol;1;NoLupin;Cerastium fontanum;5
Jonsbol;1;NoLupin;Festuca brevipila;5
Jonsbol;1;NoLupin;Gallium mollugo;2
Jonsbol;1;NoLupin;Glebionis segetum;1
Jonsbol;1;NoLupin;Hypericum maculatum;1
Jonsbol;1;NoLupin;Leucanthemum vulgare;12
Jonsbol;1;NoLupin;Luzula multiflora;1
Jonsbol;1;NoLupin;Lychnis flos-cuculi;6
Jonsbol;1;NoLupin;Plantago major;1
Jonsbol;1;NoLupin;Prunella vulgaris;6
Jonsbol;1;NoLupin;Ranunculus acris subsp. acris;4
Jonsbol;1;NoLupin;Rumex acetosa;1
Jonsbol;1;NoLupin;Rumex acetosella;5
Jonsbol;1;NoLupin;Succisa pratensis;1
Jonsbol;1;NoLupin;Trifolium repens;1
Jonsbol;1;NoLupin;Viola canina;7
Kårbo;1;Lupin;Achillea millefolium;4
Kårbo;1;Lupin;Anthriscus sylvestris;2
Kårbo;1;Lupin;Equisetum arvense;3
Kårbo;1;Lupin;Leucanthemum vulgare;1
Kårbo;1;Lupin;Lupinus polyphyllus;16
Kårbo;1;Lupin;Pilosella officinarum;1
Kårbo;1;Lupin;Scorzoneroides autumnalis;3
Kårbo;1;Lupin;Taraxacum;1
Kårbo;1;Lupin;Tripleurospermum inodorum;1
Kårbo;1;NoLupin;Anthriscus sylvestris;3
Kårbo;1;NoLupin;Betula pendula;5
Kårbo;1;NoLupin;Cerastium fontanum;4
Kårbo;1;NoLupin;Equisetum arvense;14
Kårbo;1;NoLupin;Gallium mollugo;4
Kårbo;1;NoLupin;Hypericum maculatum;4
Kårbo;1;NoLupin;Leucanthemum vulgare;4
Kårbo;1;NoLupin;Pilosella cymosa;1
Kårbo;1;NoLupin;Pilosella officinarum;3
Kårbo;1;NoLupin;Ranunculus acris subsp. acris;11
Kårbo;1;NoLupin;Ranunculus repens;11
Kårbo;1;NoLupin;Rubus idaeus;1
Kårbo;1;NoLupin;Rumex acetosa;5
Kårbo;1;NoLupin;Taraxacum;4
Kårbo;1;NoLupin;Tripleurospermum inodorum;1
Kårbo;1;NoLupin;Urtica dioica;1
Kårbo;2;Lupin;Achillea millefolium;3
Kårbo;2;Lupin;Anthriscus sylvestris;13
Kårbo;2;Lupin;Betula pendula;1
Kårbo;2;Lupin;Cerastium fontanum;1
Kårbo;2;Lupin;Equisetum arvense;6
Kårbo;2;Lupin;Gallium mollugo;5
Kårbo;2;Lupin;Heracleum sphondylium;2
Kårbo;2;Lupin;Lathyrus pratensis;7
Kårbo;2;Lupin;Leucanthemum vulgare;5
Kårbo;2;Lupin;Lupinus polyphyllus;16
Kårbo;2;Lupin;Myosotis arvensis;1
Kårbo;2;Lupin;Ranunculus acris subsp. acris;1
Kårbo;2;Lupin;Ranunculus repens;12
Kårbo;2;Lupin;Rumex acetosella;1
Kårbo;2;Lupin;Taraxacum;2
Kårbo;2;NoLupin;Achillea millefolium;3
Kårbo;2;NoLupin;Alchemilla vulgaris;2
Kårbo;2;NoLupin;Anthriscus sylvestris;10
Kårbo;2;NoLupin;Betula pendula;1
Kårbo;2;NoLupin;Cerastium fontanum;3
Kårbo;2;NoLupin;Cirsium arvense;9
Kårbo;2;NoLupin;Equisetum arvense;4
Kårbo;2;NoLupin;Gallium mollugo;6
Kårbo;2;NoLupin;Lathyrus pratensis;15
Kårbo;2;NoLupin;Leucanthemum vulgare;8
Kårbo;2;NoLupin;Ranunculus acris subsp. acris;1
Kårbo;2;NoLupin;Ranunculus repens;13
Kårbo;2;NoLupin;Scorzoneroides autumnalis;5
Kårbo;2;NoLupin;Taraxacum;6
Kårbo;2;NoLupin;Trifolium hybridum;1
Kårbo;2;NoLupin;Viola canina;8
Kölnbacken;1;Lupin;Cerastium fontanum;2
Kölnbacken;1;Lupin;Equisetum arvense;7
Kölnbacken;1;Lupin;Gallium mollugo;2
Kölnbacken;1;Lupin;Lapsana communis;1
Kölnbacken;1;Lupin;Lupinus polyphyllus;16
Kölnbacken;1;Lupin;Pilosella officinarum;2
Kölnbacken;1;Lupin;Ranunculus repens;5
Kölnbacken;1;Lupin;Taraxacum;2
Kölnbacken;1;Lupin;Tragopogon pratensis;1
Kölnbacken;1;Lupin;Veronica chamaedrys;3
Kölnbacken;1;NoLupin;Achillea millefolium;3
Kölnbacken;1;NoLupin;Alchemilla vulgaris;2
Kölnbacken;1;NoLupin;Betula pendula;7
Kölnbacken;1;NoLupin;Campanula patula;1
Kölnbacken;1;NoLupin;Carex leporina;2
Kölnbacken;1;NoLupin;Carex pallescens;1
Kölnbacken;1;NoLupin;Cerastium fontanum;1
Kölnbacken;1;NoLupin;Cirsium arvense;8
Kölnbacken;1;NoLupin;Equisetum arvense;3
Kölnbacken;1;NoLupin;Galium verum;7
Kölnbacken;1;NoLupin;Gallium mollugo;7
Kölnbacken;1;NoLupin;Heracleum sphondylium;1
Kölnbacken;1;NoLupin;Hieracium sect. Tridentata;1
Kölnbacken;1;NoLupin;Hieracium umbellatum;4
Kölnbacken;1;NoLupin;Hypericum maculatum;4
Kölnbacken;1;NoLupin;Luzula multiflora;4
Kölnbacken;1;NoLupin;Luzula pallescens;5
Kölnbacken;1;NoLupin;Pilosella cymosa;4
Kölnbacken;1;NoLupin;Pilosella officinarum;1
Kölnbacken;1;NoLupin;Plantago major;1
Kölnbacken;1;NoLupin;Ranunculus acris subsp. acris;10
Kölnbacken;1;NoLupin;Rubus saxatilis;16
Kölnbacken;1;NoLupin;Salix caprea;2
Kölnbacken;1;NoLupin;Scorzoneroides autumnalis;2
Kölnbacken;1;NoLupin;Stellaria graminea;1
Kölnbacken;1;NoLupin;Taraxacum;14
Kölnbacken;1;NoLupin;Tragopogon pratensis;6
Kölnbacken;1;NoLupin;Trifolium hybridum;3
Kölnbacken;2;Lupin;Achillea millefolium;2
Kölnbacken;2;Lupin;Anthriscus sylvestris;7
Kölnbacken;2;Lupin;Cirsium arvense;1
Kölnbacken;2;Lupin;Equisetum arvense;15
Kölnbacken;2;Lupin;Leucanthemum vulgare;1
Kölnbacken;2;Lupin;Lupinus polyphyllus;16
Kölnbacken;2;Lupin;Ranunculus repens;6
Kölnbacken;2;Lupin;Rumex acetosa;1
Kölnbacken;2;Lupin;Taraxacum;7
Kölnbacken;2;Lupin;Tragopogon pratensis;1
Kölnbacken;2;Lupin;Trifolium medium;1
Kölnbacken;2;NoLupin;Achillea millefolium;7
Kölnbacken;2;NoLupin;Anthriscus sylvestris;5
Kölnbacken;2;NoLupin;Betula pendula;2
Kölnbacken;2;NoLupin;Cirsium arvense;12
Kölnbacken;2;NoLupin;Equisetum arvense;14
Kölnbacken;2;NoLupin;Gallium mollugo;3
Kölnbacken;2;NoLupin;Hieracium umbellatum;1
Kölnbacken;2;NoLupin;Hypericum maculatum;2
Kölnbacken;2;NoLupin;Lathyrus pratensis;2
Kölnbacken;2;NoLupin;Lupinus polyphyllus;1
Kölnbacken;2;NoLupin;Pilosella cymosa;1
Kölnbacken;2;NoLupin;Pilosella officinarum;1
Kölnbacken;2;NoLupin;Rumex acetosa;1
Kölnbacken;2;NoLupin;Rumex acetosella;1
Kölnbacken;2;NoLupin;Scorzoneroides autumnalis;2
Kölnbacken;2;NoLupin;Taraxacum;6
Kölnbacken;2;NoLupin;Tragopogon pratensis;4
Larsbo;1;Lupin;Anthriscus sylvestris;1
Larsbo;1;Lupin;Campanula persicifolia;4
Larsbo;1;Lupin;Carex flava;6
Larsbo;1;Lupin;Carex pallescens;1
Larsbo;1;Lupin;Cerastium fontanum;4
Larsbo;1;Lupin;Epilobium ciliatum;1
Larsbo;1;Lupin;Juncus conglomeratus;5
Larsbo;1;Lupin;Leucanthemum vulgare;4
Larsbo;1;Lupin;Lupinus polyphyllus;16
Larsbo;1;Lupin;Lychnis flos-cuculi;1
Larsbo;1;Lupin;Ranunculus acris subsp. acris;15
Larsbo;1;Lupin;Scorzoneroides autumnalis;4
Larsbo;1;Lupin;Succisa pratensis;1
Larsbo;1;Lupin;Taraxacum;6
Larsbo;1;Lupin;Trifolium hybridum;5
Larsbo;1;Lupin;Trifolium medium;3
Larsbo;1;Lupin;Tussilago farfara;3
Larsbo;1;NoLupin;Campanula persicifolia;1
Larsbo;1;NoLupin;Carex flava;8
Larsbo;1;NoLupin;Gallium mollugo;3
Larsbo;1;NoLupin;Juncus conglomeratus;6
Larsbo;1;NoLupin;Leucanthemum vulgare;5
Larsbo;1;NoLupin;Lupinus polyphyllus;3
Larsbo;1;NoLupin;Lychnis flos-cuculi;5
Larsbo;1;NoLupin;Ranunculus acris subsp. acris;6
Larsbo;1;NoLupin;Ranunculus repens;7
Larsbo;1;NoLupin;Taraxacum;4
Larsbo;1;NoLupin;Tragopogon pratensis;2
Larsbo;1;NoLupin;Trifolium hybridum;2
Larsbo;1;NoLupin;Tussilago farfara;1
Larsbo;2;Lupin;Achillea millefolium;11
Larsbo;2;Lupin;Campanula persicifolia;1
Larsbo;2;Lupin;Carex pallescens;2
Larsbo;2;Lupin;Cirsium arvense;5
Larsbo;2;Lupin;Cirsium heterophyllum;3
Larsbo;2;Lupin;Galium boreale;6
Larsbo;2;Lupin;Gallium mollugo;1
Larsbo;2;Lupin;Lathyrus pratensis;4
Larsbo;2;Lupin;Leucanthemum vulgare;4
Larsbo;2;Lupin;Lotus corniculatus;3
Larsbo;2;Lupin;Lupinus polyphyllus;16
Larsbo;2;Lupin;Luzula multiflora;1
Larsbo;2;Lupin;Populus tremula;1
