Site;parnr;Lupin.NoLupin;Species;Occ
Bergsviken/Älvsbacka;2;NoLupin;Luzula pilosa;1
Bergsviken/Älvsbacka;2;NoLupin;Poa trivialis;3
Bergsviken/Älvsbacka;2;NoLupin;Poaceae;5
Bergsviken/Älvsbacka;2;NoLupin;Ranunculus acris subsp. acris;10
Bergsviken/Älvsbacka;2;NoLupin;Trifolium pratense;7
Bergsviken/Älvsbacka;2;NoLupin;Veronica chamaedrys;3
Bergsviken/Älvsbacka;2;NoLupin;Vicia sepium;5
Brobacke;1;Lupin;Achillea millefolium;1
Brobacke;1;Lupin;Achillea ptarmica;8
Brobacke;1;Lupin;Anthriscus sylvestris;5
Brobacke;1;Lupin;Campanula patula;2
Brobacke;1;Lupin;Cerastium fontanum;4
Brobacke;1;Lupin;Equisetum arvense;15
Brobacke;1;Lupin;Hypericum maculatum;1
Brobacke;1;Lupin;Lathyrus pratensis;2
Brobacke;1;Lupin;Lupinus polyphyllus;16
Brobacke;1;Lupin;Myosotis arvensis;1
Brobacke;1;Lupin;Pilosella cymosa;1
Brobacke;1;Lupin;Ranunculus repens;8
Brobacke;1;Lupin;Rumex acetosella;2
Brobacke;1;Lupin;Scorzoneroides autumnalis;3
Brobacke;1;Lupin;Taraxacum;5
Brobacke;1;Lupin;Trifolium medium;1
Brobacke;1;Lupin;Viola canina;1
Brobacke;1;NoLupin;Achillea millefolium;3
Brobacke;1;NoLupin;Achillea ptarmica;14
Brobacke;1;NoLupin;Cirsium arvense;1
Brobacke;1;NoLupin;Equisetum arvense;2
Brobacke;1;NoLupin;Euphrasia nemorosa;14
Brobacke;1;NoLupin;Filipendula ulmaria;1
Brobacke;1;NoLupin;Gallium mollugo;9
Brobacke;1;NoLupin;Hieracium sect. Tridentata;2
Brobacke;1;NoLupin;Lathyrus pratensis;1
Brobacke;1;NoLupin;Linaria vulgaris;3
Brobacke;1;NoLupin;Noccaea caerulescens;1
Brobacke;1;NoLupin;Pilosella cymosa;6
