Datum;County;Site;N;E;Parnr;Lupin.NoLupin;Lupin;Swedish.name;Species;Occurrence;Veg.höjd 1 i cm;Veg.höjd 2;Veg.höjd 3;Veg.höjd 4;Veghgt.avg;Förna 1 i cm;Förna 2;Förna 3;Förna 4;Förna 5;Förna 6;Förna 7;Förna 8;Förna 9;Förna 10;Förna 11;Förna 12;Förna 13;Förna 14;Förna 15;Förna 16;Litt.avg
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Fyrkantig johannesört;Hypericum maculatum;2;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Gran;Picea abies;1;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Hagfibblor;Hieracium sect. Vulgata;1;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Hallon;Rubus idaeus;1;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Harkål;Lapsana communis;4;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Hästhov;Tussilago farfara;9;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Litenblåklocka;Campanula rotundifolia;6;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Lupin;Lupinus polyphyllus;2;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Majbräken;Athyrium filix-femina;2;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Maskros;Taraxacum;5;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Prästkrage;Leucanthemum vulgare;11;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Skogsfräken;Equisetum sylvaticum;3;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Skogsklöver;Trifolium medium;2;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Teveronika;Veronica chamaedrys;4;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Vanligsmörblomma;Ranunculus acris subsp. acris;14;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Vitsippa;Anemone nemorosa;4;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Åkerfräken;Equisetum arvense;8;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Älgört;Filipendula ulmaria;1;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Ängshaverrot;Tragopogon pratensis;3;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;NoLupin;No;Ärenpris;Veronica officinalis;1;;;;;13,75;;;;;;;;;;;;;;;;;1
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Blodrot;Potentilla erecta;1;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Daggkåpa;Alchemilla vulgaris;8;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Ekorrbär;Maianthemum bifolium;1;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Gran;Picea abies;1;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Humleblomster;Geum rivale;4;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Hästhov;Tussilago farfara;2;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Kvastfibbla;Pilosella cymosa;1;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Lupin;Lupinus polyphyllus;16;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Majbräken;Athyrium filix-femina;6;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Maskros;Taraxacum;1;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Ormbär;Paris quadrifolia;2;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Prästkrage;Leucanthemum vulgare;1;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Revsmörblomma;Ranunculus repens;4;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Röllika;Achillea millefolium;2;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Skogsklöver;Trifolium medium;12;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Skogsviol;Viola riviniana;6;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Smultron;Fragaria vesca;4;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Stormåra;Gallium mollugo;4;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Vanligsmörblomma;Ranunculus acris subsp. acris;5;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Åkertistel;Cirsium arvense;2;;;;;53,75;;;;;;;;;;;;;;;;;0,2
01-07-2020;Uppsala;Odensfors;6680860.924;630155.667;2;Lupin;Yes;Örnbräken;Pteridium aquilinum;2;;;;;53,75;;;;;;;;;;;;;;;;;0,2
