Region;Site;parnr;Lupin;rich
Uppland;Östanbäck;1;Yes;18
Uppland;Östanbäck;1;No;20
Uppland;Östanbäck;2;Yes;21
Uppland;Östanbäck;2;No;23
Uppland;Östanbäcks kloster;1;Yes;20
Uppland;Östanbäcks kloster;1;No;16
Uppland;Östanbäcks kloster;2;Yes;18
Uppland;Östanbäcks kloster;2;No;22
Uppland;Österunda1;1;Yes;20
Uppland;Österunda1;1;No;24
Uppland;Österunda1;2;Yes;21
Uppland;Österunda1;2;No;15
Uppland;Österunda2;1;Yes;25
Uppland;Österunda2;1;No;25
Uppland;Österunda2;2;Yes;14
Uppland;Österunda2;2;No;15
