Site;parnr;Lupin;N;E;lat;lng;latdms;lngdms
Häggstöd/Nyeds-Backa;2;No;6603856.071;424337.33;59.56613000318224;13.660930004982053;N 59° 332 58.073 ;E 13° 392 39.353 
Jonsbol;1;Yes;6561602.694;454714.873;59.191120000709425;14.207369995331367;N 59° 112 28.033 ;E 14° 122 26.533 
Jonsbol;1;No;6561616.409;454779.032;59.19124999572207;14.208490004215768;N 59° 112 28.503 ;E 14° 122 30.563 
Kårbo;1;Yes;6647874.775;572017.287;59.96194444509916;16.289722225669678;N 59° 572 43.003 ;E 16° 172 23.003 
Kårbo;1;No;6647874.775;572017.287;59.96194444509916;16.289722225669678;N 59° 572 43.003 ;E 16° 172 23.003 
Kårbo;2;Yes;6647874.775;572017.287;59.96194444509916;16.289722225669678;N 59° 572 43.003 ;E 16° 172 23.003 
Kårbo;2;No;6647874.775;572017.287;59.96194444509916;16.289722225669678;N 59° 572 43.003 ;E 16° 172 23.003 
Kölnbacken;1;Yes;6647467.838;571776.943;59.95833332958457;16.285277786531346;N 59° 572 30.003 ;E 16° 172 7.003 
Kölnbacken;1;No;6647467.838;571776.943;59.95833332958457;16.285277786531346;N 59° 572 30.003 ;E 16° 172 7.003 
Kölnbacken;2;Yes;6647467.838;571776.943;59.95833332958457;16.285277786531346;N 59° 572 30.003 ;E 16° 172 7.003 
Kölnbacken;2;No;6647467.838;571776.943;59.95833332958457;16.285277786531346;N 59° 572 30.003 ;E 16° 172 7.003 
Larsbo;1;Yes;6635699.593;617506.193;59.842222225474615;17.096944441187645;N 59° 502 32.003 ;E 17° 52 49.003 
Larsbo;1;No;6635699.593;617506.193;59.842222225474615;17.096944441187645;N 59° 502 32.003 ;E 17° 52 49.003 
Larsbo;2;Yes;6635699.593;617506.193;59.842222225474615;17.096944441187645;N 59° 502 32.003 ;E 17° 52 49.003 
Larsbo;2;No;6635699.593;617506.193;59.842222225474615;17.096944441187645;N 59° 502 32.003 ;E 17° 52 49.003 
Lilla harnevi;1;Yes;6622216.136;617917.168;59.7211111133302;17.096666661638665;N 59° 432 16.003 ;E 17° 52 48.003 
Lilla harnevi;1;No;6622216.136;617917.168;59.7211111133302;17.096666661638665;N 59° 432 16.003 ;E 17° 52 48.003 
Lilla harnevi;2;Yes;6622216.136;617917.168;59.7211111133302;17.096666661638665;N 59° 432 16.003 ;E 17° 52 48.003 
Lilla harnevi;2;No;6622216.136;617917.168;59.7211111133302;17.096666661638665;N 59° 432 16.003 ;E 17° 52 48.003 
Littersbo 1;1;Yes;6640139.076;601155.305;59.88638888526793;16.807499999189837;N 59° 532 11.003 ;E 16° 482 27.003 
Littersbo 1;1;No;6640139.076;601155.305;59.88638888526793;16.807499999189837;N 59° 532 11.003 ;E 16° 482 27.003 
Littersbo 1;2;Yes;6640139.076;601155.305;59.88638888526793;16.807499999189837;N 59° 532 11.003 ;E 16° 482 27.003 
Littersbo 1;2;No;6640139.076;601155.305;59.88638888526793;16.807499999189837;N 59° 532 11.003 ;E 16° 482 27.003 
Littersbo 2;1;Yes;6642001.086;601337.674;59.903055553161025;16.811666663130797;N 59° 542 11.003 ;E 16° 482 42.003 
Littersbo 2;1;No;6642001.086;601337.674;59.903055553161025;16.811666663130797;N 59° 542 11.003 ;E 16° 482 42.003 
Littersbo 2;2;Yes;6642001.086;601337.674;59.903055553161025;16.811666663130797;N 59° 542 11.003 ;E 16° 482 42.003 
Littersbo 2;2;No;6642001.086;601337.674;59.903055553161025;16.811666663130797;N 59° 542 11.003 ;E 16° 482 42.003 
Lydinge;1;Yes;6634869.563;617688.285;59.834722221337245;17.099722228312213;N 59° 502 5.003 ;E 17° 52 59.003 
Lydinge;1;No;6634869.563;617688.285;59.834722221337245;17.099722228312213;N 59° 502 5.003 ;E 17° 52 59.003 
Lydinge;2;Yes;6634807.714;617690.246;59.83416666414786;17.09972223694556;N 59° 502 3.003 ;E 17° 52 59.003 
Lydinge;2;No;6634807.714;617690.246;59.83416666414786;17.09972223694556;N 59° 502 3.003 ;E 17° 52 59.003 
Manhem/Asphyttan;1;Yes;6610494.976;453678.906;59.63001999903425;14.178679995464607;N 59° 372 48.073 ;E 14° 102 43.253 
Manhem/Asphyttan;1;No;6610477.389;453660.131;59.629860002557955;14.178350993503111;N 59° 372 47.503 ;E 14° 102 42.063 
Manhem/Asphyttan;2;Yes;6610663.505;453740.213;59.63153999950801;14.179729992905537;N 59° 372 53.543 ;E 14° 102 47.033 
Manhem/Asphyttan;2;No;6610680.146;453745.495;59.631690002344264;14.179819996980282;N 59° 372 54.083 ;E 14° 102 47.353 
Missionskyrkan;1;Yes;6638922.619;594949.382;59.8769444472806;16.696111112337015;N 59° 522 37.003 ;E 16° 412 46.003 
Missionskyrkan;1;No;6638922.619;594949.382;59.8769444472806;16.696111112337015;N 59° 522 37.003 ;E 16° 412 46.003 
Missionskyrkan;2;Yes;6638922.619;594949.382;59.8769444472806;16.696111112337015;N 59° 522 37.003 ;E 16° 412 46.003 
Missionskyrkan;2;No;6638922.619;594949.382;59.8769444472806;16.696111112337015;N 59° 522 37.003 ;E 16° 412 46.003 
Motocrossbanan ;1;Yes;6643174.882;602377.956;59.91333333461551;16.830833339864693;N 59° 542 48.003 ;E 16° 492 51.003 
Motocrossbanan ;1;No;6643174.882;602377.956;59.91333333461551;16.830833339864693;N 59° 542 48.003 ;E 16° 492 51.003 
Motocrossbanan ;2;Yes;6643174.882;602377.956;59.91333333461551;16.830833339864693;N 59° 542 48.003 ;E 16° 492 51.003 
Motocrossbanan ;2;No;6643174.882;602377.956;59.91333333461551;16.830833339864693;N 59° 542 48.003 ;E 16° 492 51.003 
Nordsjö;1;Yes;6621252.416;413655.448;59.720220001551134;13.464840007888387;N 59° 432 12.793 ;E 13° 272 53.423 
Nordsjö;1;No;6621254.271;413623.418;59.72022999739539;13.464270006415045;N 59° 432 12.833 ;E 13° 272 51.373 
Nykroppa Herrhult;1;Yes;6621381.352;456392.249;59.7280600011083;14.224529995733931;N 59° 432 41.023 ;E 14° 132 28.313 
Nykroppa Herrhult;1;No;6621374.552;456402.293;59.727999999268704;14.22471000069719;N 59° 432 40.803 ;E 14° 132 28.963 
Nykroppa Herrhult;2;Yes;6618573.694;460071.2;59.703219998533015;14.290479997260269;N 59° 422 11.593 ;E 14° 172 25.733 
Nykroppa Herrhult;2;No;6619358.768;459153.405;59.710180004492216;14.274020005514336;N 59° 422 36.653 ;E 14° 162 26.473 
Nykroppa Herrhult;3;Yes;6617463.261;460496.196;59.69329000407776;14.298240007949122;N 59° 412 35.843 ;E 14° 172 53.663 
Nykroppa Herrhult;3;No;6618773.806;459896.628;59.70500000172844;14.287340008471515;N 59° 422 18.003 ;E 14° 172 14.423 
Odensfors;1;Yes;6680860.924;630155.667;60.24361111114179;17.351111111633518;N 60° 142 37.003 ;E 17° 212 4.003 
Odensfors;1;No;6680860.924;630155.667;60.24361111114179;17.351111111633518;N 60° 142 37.003 ;E 17° 212 4.003 
Odensfors;2;Yes;6680860.924;630155.667;60.24361111114179;17.351111111633518;N 60° 142 37.003 ;E 17° 212 4.003 
Odensfors;2;No;6680860.924;630155.667;60.24361111114179;17.351111111633518;N 60° 142 37.003 ;E 17° 212 4.003 
Ransta;1;Yes;6649490.25;590583.092;59.97277777732004;16.622777782686956;N 59° 582 22.003 ;E 16° 372 22.003 
Ransta;1;No;6649490.25;590583.092;59.97277777732004;16.622777782686956;N 59° 582 22.003 ;E 16° 372 22.003 
Ransta;2;Yes;6649490.25;590583.092;59.97277777732004;16.622777782686956;N 59° 582 22.003 ;E 16° 372 22.003 
Ransta;2;No;6649490.25;590583.092;59.97277777732004;16.622777782686956;N 59° 582 22.003 ;E 16° 372 22.003 
Runhällen;1;Yes;6654992.596;602174.864;60.01944444478391;16.83305555659662;N 60° 12 10.003 ;E 16° 492 59.003 
