Site;parnr;Lupin;N;E
Snavlunda äng;1;Yes;6650908.957;494242.954
Snavlunda äng;1;No;6648328.782;494108.301
Solbo;1;Yes;6637867.687;599567.525
Solbo;1;No;6637867.687;599567.525
Solbo;2;Yes;6637867.687;599567.525
Solbo;2;No;6637867.687;599567.525
Stavkärr/Svinnersta;1;Yes;6537475.952;489646.444
Stavkärr/Svinnersta;1;No;6537424.86;489598.588
Stavkärr/Svinnersta;2;Yes;6537391.337;487748.957
Stavkärr/Svinnersta;2;No;6537356.738;487774.144
Stavkärr/Svinnersta;3;Yes;6537598.995;487239.111
Stavkärr/Svinnersta;3;No;6537580.041;487246.521
Söderfors;1;Yes;6693748.141;623239.063
Söderfors;1;No;6693748.141;623239.063
Söderfors;2;Yes;6693748.141;623239.063
Söderfors;2;No;6693748.141;623239.063
Sörbäck;1;Yes;6639099.046;594587.044
Sörbäck;1;No;6639099.046;594587.044
Sörbäck;2;Yes;6639099.046;594587.044
Sörbäck;2;No;6639099.046;594587.044
Torsked;1;Yes;6617027.742;422563.463
Torsked;1;No;6616988.264;422533.356
Västerby;1;Yes;6643930.254;583122.716
Västerby;1;No;6643930.254;583122.716
Västerby;2;Yes;6643930.254;583122.716
Västerby;2;No;6643930.254;583122.716
Östanbäck;1;Yes;6644102.974;582544.094
Östanbäck;1;No;6644102.974;582544.094
Östanbäck;2;Yes;6644102.974;582544.094
Östanbäck;2;No;6644102.974;582544.094
Östanbäcks kloster;1;Yes;6644216.677;582091.101
Östanbäcks kloster;1;No;6644216.677;582091.101
Östanbäcks kloster;2;Yes;6644216.677;582091.101
Östanbäcks kloster;2;No;6644216.677;582091.101
Österunda1;1;Yes;6633789.678;617800.444
Österunda1;1;No;6633789.678;617800.444
Österunda1;2;Yes;6633789.678;617800.444
Österunda1;2;No;6633789.678;617800.444
Österunda2;1;Yes;6633357.23;617829.747
Österunda2;1;No;6633357.23;617829.747
Österunda2;2;Yes;6633357.23;617829.747
Österunda2;2;No;6633357.23;617829.747
