County;Site;parnr;Lupin;Species;Veghgt.avg;Litt.avg;Light;Moisture;pH;Nitrogen;Family;Sp.length;Management.dependent;Occurrences;N;E;lat;lng;latdms;lngdms
Uppsala;Brobacke;1;Yes;Equisetum arvense;45;0,2;5;4;6;5;Equisetaceae;30;0;15;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Hypericum maculatum;45;0,2;5;3;3;5;Hypericaceae;55;1;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Lathyrus pratensis;45;0,2;6;5;5;5;Fabaceae;60;1;2;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Lupinus polyphyllus;45;0,2;5;3;2;2;Fabaceae;85;-1;16;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Myosotis arvensis;45;0,2;5;5;6;6;Boraginaceae;25;1;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Pilosella cymosa;45;0,2;7;2;6;5;Asteraceae;60;0;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Ranunculus repens;45;0,2;4;7;5;7;Ranunculaceae;30;0;8;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Rumex acetosella;45;0,2;6;2;3;2;Polygonaceae;25;2;2;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Scorzoneroides autumnalis;45;0,2;6;5;6;5;Asteraceae;25;1;3;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Taraxacum;45;0,2;NA;NA;NA;NA;Asteraceae;NA;1;5;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Trifolium medium;45;0,2;5;3;5;3;Fabaceae;27,5;1;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brobacke;1;Yes;Viola canina;45;0,2;5;4;3;2;Violaceae;12,5;0;1;6654622,686;573697,751;60,02222223;16,32222222;N 60° 12 20.003 ;E 16° 192 20.003 
Uppsala;Brunkullsvägen;1;No;Achillea millefolium;10,625;1,4;6;2;5;5;Asteraceae;45;1;16;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Aethusa cynapium;10,625;1,4;5;3;7;8;Apiaceae;102,5;1;2;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Anthriscus sylvestris;10,625;1,4;5;5;6;7;Apiaceae;100;-1;1;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Equisetum arvense;10,625;1,4;5;4;6;5;Equisetaceae;30;0;16;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Fragaria vesca;10,625;1,4;4;4;5;4;Rosaceae;12,5;0;2;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Gallium mollugo;10,625;1,4;5;3;5;5;Rubiaceae;65;0;16;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Hieracium umbellatum;10,625;1,4;6;3;4;4;Asteraceae;52,5;0;11;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Leucanthemum vulgare;10,625;1,4;6;3;6;4;Asteraceae;45;1;2;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Lotus corniculatus;10,625;1,4;6;3;5;3;Fabaceae;40;2;16;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Lupinus polyphyllus;10,625;1,4;5;3;2;2;Fabaceae;85;-1;1;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Myosotis arvensis;10,625;1,4;5;5;6;6;Boraginaceae;25;1;2;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Pilosella officinarum;10,625;1,4;7;1;3;3;Asteraceae;12,5;2;1;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Rumex acetosella;10,625;1,4;6;2;3;2;Polygonaceae;25;2;2;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Trifolium hybridum;10,625;1,4;6;4;6;4;Fabaceae;35;1;2;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Veronica officinalis;10,625;1,4;5;3;5;5;Plantaginaceae;20;0;7;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;No;Vicia cracca;10,625;1,4;5;5;6;3;Fabaceae;60;1;8;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Achillea millefolium;30;1;6;2;5;5;Asteraceae;45;1;16;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Aethusa cynapium;30;1;5;3;7;8;Apiaceae;102,5;1;4;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Anthriscus sylvestris;30;1;5;5;6;7;Apiaceae;100;-1;2;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Campanula persicifolia;30;1;5;3;6;5;Campanulaceae;65;1;1;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Equisetum arvense;30;1;5;4;6;5;Equisetaceae;30;0;4;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Gallium mollugo;30;1;5;3;5;5;Rubiaceae;65;0;7;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Hieracium umbellatum;30;1;6;3;4;4;Asteraceae;52,5;0;3;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Lotus corniculatus;30;1;6;3;5;3;Fabaceae;40;2;1;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Lupinus polyphyllus;30;1;5;3;2;2;Fabaceae;85;-1;16;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Noccaea caerulescens;30;1;5;2;4;3;Brassicaceae;22,5;2;2;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Ranunculus acris subsp. acris;30;1;5;5;4;7;Ranunculaceae;45;1;1;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Rumex acetosa;30;1;6;5;5;6;Polygonaceae;60;1;4;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Rumex acetosella;30;1;6;2;3;2;Polygonaceae;25;2;1;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Taraxacum;30;1;NA;NA;NA;NA;Asteraceae;NA;1;2;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Tragopogon pratensis;30;1;7;2;7;6;Asteraceae;55;1;1;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Trifolium medium;30;1;5;3;5;3;Fabaceae;27,5;1;1;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Brunkullsvägen;1;Yes;Vaccinium uliginosum;30;1;5;6;2;2;Ericaceae;40;-1;1;6644062,999;612703,008;59,91861111;17,01583333;N 59° 552 7.003 ;E 17° 02 57.003 
Uppsala;Bänntorpet;1;No;Achillea millefolium;3,75;2,2;6;2;5;5;Asteraceae;45;1;8;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Anthriscus sylvestris;3,75;2,2;5;5;6;7;Apiaceae;100;-1;12;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Cirsium heterophyllum;3,75;2,2;5;5;5;7;Asteraceae;90;0;1;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Equisetum sylvaticum;3,75;2,2;4;5;2;3;Equisetaceae;40;-1;4;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Geranium sylvaticum;3,75;2,2;4;5;5;5;Geraniaceae;47,5;0;4;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Hieracium sect. Hieracium agg.;3,75;2,2;3;5;6;5;Asteraceae;37,5;0;1;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Hieracium sect. Tridentata;3,75;2,2;6;3;3;4;Asteraceae;70;0;3;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Hieracium umbellatum;3,75;2,2;6;3;4;4;Asteraceae;52,5;0;13;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Lathyrus linifolius;3,75;2,2;4;3;3;3;Fabaceae;25;1;1;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Lathyrus pratensis;3,75;2,2;6;5;5;5;Fabaceae;60;1;4;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Leucanthemum vulgare;3,75;2,2;6;3;6;4;Asteraceae;45;1;2;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Lupinus polyphyllus;3,75;2,2;5;3;2;2;Fabaceae;85;-1;3;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Luzula multiflora;3,75;2,2;5;3;4;4;Juncaceae;30;2;1;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Luzula pilosa;3,75;2,2;3;4;2;4;Juncaceae;17,5;0;1;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Noccaea caerulescens;3,75;2,2;5;2;4;3;Brassicaceae;22,5;2;7;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Ranunculus acris subsp. acris;3,75;2,2;5;5;4;7;Ranunculaceae;45;1;4;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Ranunculus repens;3,75;2,2;4;7;5;7;Ranunculaceae;30;0;3;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Rubus saxatilis;3,75;2,2;3;5;5;5;Rosaceae;22,5;-1;16;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Solidago virgaurea;3,75;2,2;4;4;4;4;Asteraceae;62,5;0;2;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Taraxacum;3,75;2,2;NA;NA;NA;NA;Asteraceae;NA;1;6;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Trifolium hybridum;3,75;2,2;6;4;6;4;Fabaceae;35;1;1;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;No;Tussilago farfara;3,75;2,2;5;6;6;5;Asteraceae;12,5;0;9;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Achillea millefolium;33,125;1,6;6;2;5;5;Asteraceae;45;1;3;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Anthriscus sylvestris;33,125;1,6;5;5;6;7;Apiaceae;100;-1;8;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Chamaenerion angustifolium;33,125;1,6;5;4;3;7;Onagraceae;115;-1;1;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Cirsium heterophyllum;33,125;1,6;5;5;5;7;Asteraceae;90;0;12;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Equisetum sylvaticum;33,125;1,6;4;5;2;3;Equisetaceae;40;-1;2;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Fragaria vesca;33,125;1,6;4;4;5;4;Rosaceae;12,5;0;1;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
Uppsala;Bänntorpet;1;Yes;Geranium sylvaticum;33,125;1,6;4;5;5;5;Geraniaceae;47,5;0;3;6643046,881;602226,068;59,91222222;16,82805555;N 59° 542 44.003 ;E 16° 492 41.003 
