County;Site;parnr;Lupin;Species;Veghgt.avg;Litt.avg;Light;Moisture;pH;Nitrogen;Family;Sp.length;Management.dependent;Occurrences
Uppsala;Brobacke;1;No;Taraxacum;4,375;0;NA;NA;NA;NA;Asteraceae;NA;1;2
Uppsala;Brobacke;1;No;Trifolium hybridum;4,375;0;6;4;6;4;Fabaceae;35;1;9
Uppsala;Brobacke;1;No;Tripleurospermum inodorum;4,375;0;6;5;7;8;Asteraceae;50;0;4
Uppsala;Brobacke;1;No;Tussilago farfara;4,375;0;5;6;6;5;Asteraceae;12,5;0;2
Uppsala;Brobacke;1;No;Vicia cracca;4,375;0;5;5;6;3;Fabaceae;60;1;4
Uppsala;Brobacke;1;Yes;Achillea millefolium;45;0,2;6;2;5;5;Asteraceae;45;1;1
Uppsala;Brobacke;1;Yes;Achillea ptarmica;45;0,2;5;6;4;4;Asteraceae;40;1;8
Uppsala;Brobacke;1;Yes;Anthriscus sylvestris;45;0,2;5;5;6;7;Apiaceae;100;-1;5
Uppsala;Brobacke;1;Yes;Campanula patula;45;0,2;6;3;4;4;Campanulaceae;45;1;2
Uppsala;Brobacke;1;Yes;Cerastium fontanum;45;0,2;5;6;6;5;Caryophyllaceae;20;1;4
Uppsala;Brobacke;1;Yes;Equisetum arvense;45;0,2;5;4;6;5;Equisetaceae;30;0;15
Uppsala;Brobacke;1;Yes;Hypericum maculatum;45;0,2;5;3;3;5;Hypericaceae;55;1;1
Uppsala;Brobacke;1;Yes;Lathyrus pratensis;45;0,2;6;5;5;5;Fabaceae;60;1;2
Uppsala;Brobacke;1;Yes;Lupinus polyphyllus;45;0,2;5;3;2;2;Fabaceae;85;-1;16
Uppsala;Brobacke;1;Yes;Myosotis arvensis;45;0,2;5;5;6;6;Boraginaceae;25;1;1
Uppsala;Brobacke;1;Yes;Pilosella cymosa;45;0,2;7;2;6;5;Asteraceae;60;0;1
Uppsala;Brobacke;1;Yes;Ranunculus repens;45;0,2;4;7;5;7;Ranunculaceae;30;0;8
Uppsala;Brobacke;1;Yes;Rumex acetosella;45;0,2;6;2;3;2;Polygonaceae;25;2;2
Uppsala;Brobacke;1;Yes;Scorzoneroides autumnalis;45;0,2;6;5;6;5;Asteraceae;25;1;3
Uppsala;Brobacke;1;Yes;Taraxacum;45;0,2;NA;NA;NA;NA;Asteraceae;NA;1;5
Uppsala;Brobacke;1;Yes;Trifolium medium;45;0,2;5;3;5;3;Fabaceae;27,5;1;1
Uppsala;Brobacke;1;Yes;Viola canina;45;0,2;5;4;3;2;Violaceae;12,5;0;1
Uppsala;Gullvalla;2;No;Anthriscus sylvestris;1,875;0;5;5;6;7;Apiaceae;100;-1;2
Uppsala;Gullvalla;2;No;Campanula rotundifolia;1,875;0;6;3;5;4;Campanulaceae;30;2;4
Uppsala;Gullvalla;2;No;Cota tinctoria;1,875;0;6;2;6;3;Asteraceae;45;2;1
Uppsala;Gullvalla;2;No;Fragaria vesca;1,875;0;4;4;5;4;Rosaceae;12,5;0;15
Uppsala;Gullvalla;2;No;Hieracium sect. Tridentata;1,875;0;6;3;3;4;Asteraceae;70;0;3
Uppsala;Gullvalla;2;No;Lupinus polyphyllus;1,875;0;5;3;2;2;Fabaceae;85;-1;3
Uppsala;Gullvalla;2;No;Pilosella officinarum;1,875;0;7;1;3;3;Asteraceae;12,5;2;11
Uppsala;Gullvalla;2;No;Rubus idaeus;1,875;0;5;5;3;6;Rosaceae;125;-1;1
Uppsala;Gullvalla;2;No;Rubus saxatilis;1,875;0;3;5;5;5;Rosaceae;22,5;-1;4
Uppsala;Gullvalla;2;No;Rumex acetosa;1,875;0;6;5;5;6;Polygonaceae;60;1;1
Uppsala;Gullvalla;2;No;Taraxacum;1,875;0;NA;NA;NA;NA;Asteraceae;NA;1;2
Uppsala;Gullvalla;2;No;Trifolium medium;1,875;0;5;3;5;3;Fabaceae;27,5;1;3
Uppsala;Gullvalla;2;No;Viola canina;1,875;0;5;4;3;2;Violaceae;12,5;0;14
Uppsala;Gullvalla;2;Yes;Achillea millefolium;73,75;0;6;2;5;5;Asteraceae;45;1;3
Uppsala;Gullvalla;2;Yes;Anthriscus sylvestris;73,75;0;5;5;6;7;Apiaceae;100;-1;1
Uppsala;Gullvalla;2;Yes;Campanula rotundifolia;73,75;0;6;3;5;4;Campanulaceae;30;2;6
Uppsala;Gullvalla;2;Yes;Cota tinctoria;73,75;0;6;2;6;3;Asteraceae;45;2;2
Uppsala;Gullvalla;2;Yes;Fragaria vesca;73,75;0;4;4;5;4;Rosaceae;12,5;0;16
Uppsala;Gullvalla;2;Yes;Gallium mollugo;73,75;0;5;3;5;5;Rubiaceae;65;0;1
Uppsala;Gullvalla;2;Yes;Lupinus polyphyllus;73,75;0;5;3;2;2;Fabaceae;85;-1;16
Uppsala;Gullvalla;2;Yes;Noccaea caerulescens;73,75;0;5;2;4;3;Brassicaceae;22,5;2;1
