County;Site;parnr;Lupin;Achillea millefolium;Achillea ptarmica;Aegopodium podagraria;Alchemilla vulgaris;Anemone nemorosa;Angelica sylvestris;Anthriscus sylvestris;Anthyllis vulneraria;Argentina anserina;Calluna vulgaris;Campanula patula;Campanula persicifolia;Campanula rotundifolia;Carex digitata;Carex leporina;Carex pallescens;Carex panicea;Centaurea jacea;Cerastium fontanum;Chamaenerion angustifolium;Cirsium arvense;Cirsium palustre;Convallaria majalis;Cota tinctoria;Daucus carota subsp. carota;Dianthus deltoides;Equisetum;Equisetum arvense;Equisetum sylvaticum;Erigeron acris;Euphrasia nemorosa;Ficaria verna;Filipendula ulmaria;Fragaria vesca;Galium boreale;Galium uliginosum;Galium verum;Gallium mollugo;Geranium sylvaticum;Geum rivale;Geum urbanum;Glebionis segetum;Hieracium sect. Bifida;Hieracium sect. Hieracium agg.;Hieracium sect. Tridentata;Hieracium sect. Vulgata;Hieracium umbellatum;Hypericum maculatum;Hypericum perforatum;Juncus conglomeratus;Juncus effusus;Knautia arvensis;Lathyrus linifolius;Lathyrus pratensis;Leucanthemum vulgare;Linaria vulgaris;Lotus corniculatus;Lupinus polyphyllus;Luzula multiflora;Luzula pallescens;Luzula pilosa;Lychnis flos-cuculi;Medicago lupulina;Melampyrum sylvaticum;Moehringia trinervia;Myosotis arvensis;Noccaea caerulescens;Pilosella cymosa;Pilosella lactucella;Pilosella officinarum;Pimpinella saxifraga;Plantago lanceolata;Plantago major;Polygala vulgaris;Potentilla argentea;Potentilla erecta;Potentilla reptans;Primula veris;Prunella vulgaris;Ranunculus acris subsp. acris;Ranunculus repens;Rhinanthus minor;Rubus arcticus;Rubus idaeus;Rubus saxatilis;Rumex acetosa;Rumex acetosella;Rumex longifolius;Sagina revelierei;Scirpus sylvaticus;Scorzoneroides autumnalis;Silene vulgaris;Solidago canadensis;Solidago virgaurea;Sonchus oleraceus;Stachys palustris;Stellaria graminea;Stellaria longifolia;Succisa pratensis;Taraxacum;Tragopogon pratensis;Trifolium aureoum;Trifolium hybridum;Trifolium medium;Trifolium pratense;Trifolium repens;Trifolium spadiceum;Tripleurospermum inodorum;Tussilago farfara;Urtica dioica;Vaccinium myrtillus;Vaccinium vitis-idaea;Verbascum nigrum;Veronica chamaedrys;Veronica officinalis;Vicia cracca;Vicia sepium;Vicia sylvatica;Vicia tetrasperma;Viola canina;Viola riviniana;N;E;lat;lng
Uppsala;Missionskyrkan;2;No;16;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;12;0;0;0;14;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;5;0;0;0;0;10;0;0;0;0;5;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;4;0;5;0;0;1;0;0;1;0;0;0;0;0;0;0;10;0;0;1;0;6638922,619;594949,382;59,87694445;16,69611111
Uppsala;Missionskyrkan;2;Yes;16;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;7;2;0;0;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6638922,619;594949,382;59,87694445;16,69611111
Uppsala;Motocrossbanan ;1;No;12;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;15;0;0;0;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;4;0;0;5;2;0;0;4;0;0;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6643174,882;602377,956;59,91333333;16,83083334
Uppsala;Motocrossbanan ;1;Yes;15;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;10;0;0;0;2;0;1;0;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;7;2;1;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;6643174,882;602377,956;59,91333333;16,83083334
Uppsala;Ransta;1;No;16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;0;8;0;0;0;12;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;0;0;2;0;0;0;10;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;6649490,25;590583,092;59,97277778;16,62277778
Uppsala;Ransta;1;Yes;14;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;6649490,25;590583,092;59,97277778;16,62277778
Uppsala;Runhällen;2;No;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;7;0;0;4;0;0;0;0;0;0;0;0;12;0;0;0;0;0;1;0;1;0;0;5;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;7;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;8;7;0;0;10;0;6654992,596;602174,864;60,01944444;16,83305556
Uppsala;Runhällen;2;Yes;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;6;0;0;0;0;16;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;4;0;0;1;0;6654992,596;602174,864;60,01944444;16,83305556
Uppsala;Rödmossa;1;No;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;9;0;0;0;0;0;0;12;6;0;0;0;0;0;1;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;10;0;0;16;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;6661520,071;602055,72;60,07805556;16,83416667
Uppsala;Rödmossa;1;Yes;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;1;0;10;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;15;0;0;9;15;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;6661520,071;602055,72;60,07805556;16,83416667
